DateRep;Country;Cases_cumsum
11/6/20;Paucartambo;485
11/6/20;Quispicanchi;2570
11/6/20;Urubamba;1823
11/7/20;Acomayo;402
11/7/20;Anta;1886
11/7/20;Calca;1281
11/7/20;Canas;348
11/7/20;Canchis;3391
11/7/20;Chumbivilcas;857
11/7/20;Cusco;46063
11/7/20;Espinar;2075
11/7/20;La Convencion;6614
11/7/20;Paruro;480
11/7/20;Paucartambo;491
11/7/20;Quispicanchi;2592
11/7/20;Urubamba;1862
11/8/20;Acomayo;402
11/8/20;Anta;1890
11/8/20;Calca;1284
11/8/20;Canas;348
11/8/20;Canchis;3394
11/8/20;Chumbivilcas;857
11/8/20;Cusco;46296
11/8/20;Espinar;2078
11/8/20;La Convencion;6621
11/8/20;Paruro;480
11/8/20;Paucartambo;491
11/8/20;Quispicanchi;2601
11/8/20;Urubamba;1872
11/9/20;Acomayo;402
11/9/20;Anta;1893
11/9/20;Calca;1286
11/9/20;Canas;349
11/9/20;Canchis;3402
11/9/20;Chumbivilcas;860
11/9/20;Cusco;46382
11/9/20;Espinar;2090
11/9/20;La Convencion;6636
11/9/20;Paruro;480
11/9/20;Paucartambo;493
11/9/20;Quispicanchi;2609
11/9/20;Urubamba;1875
3/13/20;Acomayo;0
3/13/20;Anta;0
3/13/20;Calca;0
3/13/20;Canas;0
3/13/20;Canchis;0
3/13/20;Chumbivilcas;0
3/13/20;Cusco;4
3/13/20;Espinar;0
3/13/20;La Convencion;0
3/13/20;Paruro;0
3/13/20;Paucartambo;0
3/13/20;Quispicanchi;0
3/13/20;Urubamba;0
3/14/20;Acomayo;0
3/14/20;Anta;0
3/14/20;Calca;0
3/14/20;Canas;0
3/14/20;Canchis;0
3/14/20;Chumbivilcas;0
3/14/20;Cusco;4
3/14/20;Espinar;0
3/14/20;La Convencion;0
3/14/20;Paruro;0
3/14/20;Paucartambo;0
3/14/20;Quispicanchi;0
3/14/20;Urubamba;0
3/15/20;Acomayo;0
3/15/20;Anta;0
3/15/20;Calca;0
3/15/20;Canas;0
3/15/20;Canchis;0
3/15/20;Chumbivilcas;0
3/15/20;Cusco;4
3/15/20;Espinar;0
3/15/20;La Convencion;0
3/15/20;Paruro;0
3/15/20;Paucartambo;0
3/15/20;Quispicanchi;0
3/15/20;Urubamba;0
3/16/20;Acomayo;0
3/16/20;Anta;0
3/16/20;Calca;0
3/16/20;Canas;0
3/16/20;Canchis;0
3/16/20;Chumbivilcas;0
3/16/20;Cusco;4
3/16/20;Espinar;0
3/16/20;La Convencion;0
3/16/20;Paruro;0
3/16/20;Paucartambo;0
3/16/20;Quispicanchi;0
3/16/20;Urubamba;0
3/17/20;Acomayo;0
3/17/20;Anta;0
3/17/20;Calca;0
3/17/20;Canas;0
3/17/20;Canchis;0
3/17/20;Chumbivilcas;0
3/17/20;Cusco;4
3/17/20;Espinar;0
3/17/20;La Convencion;0
3/17/20;Paruro;0
3/17/20;Paucartambo;0
3/17/20;Quispicanchi;0
3/17/20;Urubamba;0
3/18/20;Acomayo;0
3/18/20;Anta;0
3/18/20;Calca;0
3/18/20;Canas;0
3/18/20;Canchis;0
3/18/20;Chumbivilcas;0
3/18/20;Cusco;7
3/18/20;Espinar;0
3/18/20;La Convencion;0
3/18/20;Paruro;0
3/18/20;Paucartambo;0
3/18/20;Quispicanchi;0
3/18/20;Urubamba;0
3/19/20;Acomayo;0
3/19/20;Anta;0
3/19/20;Calca;0
3/19/20;Canas;0
3/19/20;Canchis;0
3/19/20;Chumbivilcas;0
3/19/20;Cusco;7
3/19/20;Espinar;0
3/19/20;La Convencion;0
3/19/20;Paruro;0
3/19/20;Paucartambo;0
3/19/20;Quispicanchi;0
3/19/20;Urubamba;0
3/20/20;Acomayo;0
3/20/20;Anta;0
3/20/20;Calca;0
3/20/20;Canas;0
3/20/20;Canchis;0
3/20/20;Chumbivilcas;0
3/20/20;Cusco;8
3/20/20;Espinar;0
3/20/20;La Convencion;0
3/20/20;Paruro;0
3/20/20;Paucartambo;0
3/20/20;Quispicanchi;0
3/20/20;Urubamba;0
3/21/20;Acomayo;0
3/21/20;Anta;0
3/21/20;Calca;0
3/21/20;Canas;0
3/21/20;Canchis;0
3/21/20;Chumbivilcas;0
3/21/20;Cusco;8
3/21/20;Espinar;0
3/21/20;La Convencion;0
3/21/20;Paruro;0
3/21/20;Paucartambo;0
3/21/20;Quispicanchi;0
3/21/20;Urubamba;0
3/22/20;Acomayo;0
3/22/20;Anta;0
3/22/20;Calca;0
3/22/20;Canas;0
3/22/20;Canchis;0
3/22/20;Chumbivilcas;0
3/22/20;Cusco;11
3/22/20;Espinar;0
3/22/20;La Convencion;0
3/22/20;Paruro;0
3/22/20;Paucartambo;0
3/22/20;Quispicanchi;0
3/22/20;Urubamba;0
3/23/20;Acomayo;0
3/23/20;Anta;0
3/23/20;Calca;0
3/23/20;Canas;0
3/23/20;Canchis;0
3/23/20;Chumbivilcas;0
3/23/20;Cusco;11
3/23/20;Espinar;0
3/23/20;La Convencion;0
3/23/20;Paruro;0
3/23/20;Paucartambo;0
3/23/20;Quispicanchi;0
3/23/20;Urubamba;0
3/24/20;Acomayo;0
3/24/20;Anta;0
3/24/20;Calca;0
3/24/20;Canas;0
3/24/20;Canchis;0
3/24/20;Chumbivilcas;0
3/24/20;Cusco;15
3/24/20;Espinar;0
3/24/20;La Convencion;0
3/24/20;Paruro;0
3/24/20;Paucartambo;0
3/24/20;Quispicanchi;0
3/24/20;Urubamba;0
3/25/20;Acomayo;0
3/25/20;Anta;0
3/25/20;Calca;0
3/25/20;Canas;0
3/25/20;Canchis;0
3/25/20;Chumbivilcas;0
3/25/20;Cusco;15
3/25/20;Espinar;0
3/25/20;La Convencion;1
3/25/20;Paruro;0
3/25/20;Paucartambo;0
3/25/20;Quispicanchi;0
3/25/20;Urubamba;0
3/26/20;Acomayo;0
3/26/20;Anta;0
3/26/20;Calca;0
3/26/20;Canas;0
3/26/20;Canchis;0
3/26/20;Chumbivilcas;0
3/26/20;Cusco;15
3/26/20;Espinar;0
3/26/20;La Convencion;1
